X__1,American Indian/ Alaska Native,X__2,Asian,X__3,Native Hawaiian/ Pacific Islander,X__4,Black/African American,X__5,Hispanic/Latino,X__6,White,X__7,Multi-Racial,X__8,Totals,X__9
,,,,,,,,,,,,,,,,
,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Kindergarten,257,235,855,816,153,136,483,434,4832,4706,13691,12671,1361,1254,21632,20252
First Grade,277,256,856,767,186,156,506,477,5078,4915,13904,12991,1385,1402,22192,20964
Second Grade,260,241,851,834,162,171,520,534,5066,5004,14068,13046,1398,1349,22325,21179
Third Grade,299,238,885,847,166,154,570,530,5581,5118,14310,13295,1434,1400,23245,21582
Fourth Grade,295,257,885,870,176,182,574,539,5561,5550,14848,13767,1549,1490,23888,22655
Fifth Grade,327,288,877,898,156,163,535,502,5729,5380,14719,13986,1521,1461,23864,22678
Sixth Grade,309,324,846,957,178,171,486,518,5631,5304,14300,13529,1403,1422,23153,22225
Seventh Grade,325,277,856,880,166,168,511,476,5298,5131,14158,13157,1361,1387,22675,21476
Eighth Grade,338,291,925,924,172,154,453,502,5100,4828,14405,13575,1324,1384,22717,21658
Ninth Grade,296,307,900,936,160,158,508,517,5162,4893,14643,13647,1384,1308,23053,21766
Tenth Grade,318,312,940,905,164,135,504,494,5129,4867,14509,13518,1233,1229,22797,21460
Eleventh Grade,326,320,931,982,135,165,563,484,4894,4707,14479,13470,1288,1259,22616,21387
Twelfth Grade,375,376,1039,1062,185,160,700,589,5408,4950,15413,14297,1387,1304,24507,22738
All Grades,4002,3722,11646,11678,2159,2073,6913,6596,68469,65353,187447,174949,18028,17649,298664,282020
,,,,,,,,,,,,,,,,
All Grades 2017-18,,,,,,,,,,,,,,,,
Total,7724,,23324,,4232,,13509,,133822,,362396,,35677,,580684,
Percentage Each Group,1.3301554718228848E-2,,4.0166424423610778E-2,,7.2879569611010459E-3,,2.3263943900641314E-2,,0.23045580728933465,,0.62408470011228134,,6.143961259480199E-2,,0.99999999999970002,
,,,,,,,,,,,,,,,,
All Grades 2016-17,,,,,,,,,,,,,,,,
Total,8184,,23067,,4172,,13654,,131089,,364581,,34200,,578947,
Percentage Each Group,1.4136008995642088E-2,,3.9843025354652499E-2,,7.2061864039368023E-3,,2.358419682630707E-2,,0.22642659863510822,,0.62973121891986661,,5.9072764864486732E-2,,1,
,,,,,,,,,,,,,,,,
Percent change from 2016-17 to 2017-18,,,,,,,,,,,,,,,,
,-5.6207233626588464E-2,,1.1141457493388823E-2,,1.4381591562799617E-2,,-1.0619598652409551E-2,,2.0848431218485151E-2,,-5.9931812135026238E-3,,4.3187134502923975E-2,,3.0002746365384051E-3,
